Total cost: 10242
Unconnected houses: 1
(27, 3), 57.11814462, (None, None), (None, None), 0, False

These houses have been connected:
(41, 37)
(42, 34)
(15, 44)
(24, 41)
(4, 7)
(19, 41)
(18, 44)
(25, 36)
(24, 26)
(12, 5)
(42, 14)
(32, 37)
(0, 16)
(30, 37)
(42, 29)
(15, 5)
(40, 37)
(3, 14)
(35, 37)
(27, 29)
(44, 27)
(24, 38)
(23, 11)
(44, 38)
(27, 36)
(26, 36)
(24, 23)
(42, 3)
(25, 22)
(2, 16)
(42, 30)
(3, 13)
(23, 29)
(10, 50)
(33, 5)
(53, 5)
(21, 44)
(42, 9)
(24, 20)
(28, 36)
(9, 46)
(42, 4)
(30, 35)
(26, 22)
(42, 19)
(22, 5)
(46, 6)
(45, 6)
(3, 8)
(26, 5)
(9, 48)
(32, 5)
(9, 5)
(32, 8)
(29, 5)
(35, 5)
###################
This is the network for battery (49, 23).
End capacity: 21.74089786
Cable count: 214
--------------------

Cable Coordinates: 
(49, 37)
(24, 30)
(46, 42)
(14, 4)
(13, 4)
(21, 28)
(23, 41)
(16, 28)
(38, 27)
(28, 26)
(49, 17)
(38, 37)
(5, 8)
(28, 5)
(10, 8)
(45, 22)
(20, 48)
(48, 37)
(37, 35)
(49, 32)
(24, 27)
(46, 39)
(28, 35)
(23, 44)
(15, 4)
(28, 31)
(49, 28)
(28, 10)
(9, 3)
(31, 15)
(22, 48)
(26, 37)
(49, 35)
(47, 40)
(21, 37)
(28, 32)
(23, 38)
(47, 37)
(29, 37)
(16, 38)
(28, 17)
(12, 39)
(28, 28)
(49, 31)
(28, 15)
(20, 37)
(7, 8)
(14, 8)
(12, 8)
(28, 37)
(19, 8)
(17, 8)
(23, 37)
(47, 24)
(24, 8)
(46, 16)
(31, 37)
(28, 22)
(49, 26)
(21, 49)
(28, 12)
(10, 3)
(49, 36)
(11, 10)
(25, 30)
(21, 27)
(23, 40)
(21, 8)
(38, 21)
(26, 8)
(42, 21)
(38, 24)
(28, 27)
(49, 16)
(48, 24)
(28, 6)
(45, 21)
(14, 28)
(11, 4)
(19, 28)
(24, 28)
(11, 9)
(26, 30)
(23, 47)
(15, 7)
(38, 22)
(34, 37)
(28, 24)
(44, 21)
(42, 37)
(16, 48)
(30, 15)
(37, 37)
(45, 24)
(28, 11)
(19, 38)
(25, 37)
(8, 3)
(49, 19)
(45, 37)
(11, 3)
(49, 34)
(15, 28)
(12, 4)
(28, 33)
(20, 28)
(37, 28)
(16, 39)
(28, 18)
(11, 39)
(17, 38)
(4, 8)
(36, 37)
(28, 29)
(18, 37)
(2, 8)
(24, 37)
(49, 30)
(9, 8)
(19, 37)
(44, 37)
(28, 8)
(23, 8)
(39, 37)
(30, 31)
(18, 48)
(27, 37)
(17, 28)
(22, 27)
(38, 28)
(28, 23)
(49, 20)
(18, 38)
(49, 25)
(15, 39)
(21, 48)
(28, 13)
(46, 40)
(19, 48)
(23, 43)
(41, 21)
(13, 28)
(28, 20)
(3, 9)
(18, 28)
(38, 25)
(49, 23)
(28, 7)
(23, 48)
(6, 8)
(46, 37)
(24, 29)
(11, 8)
(16, 8)
(40, 21)
(46, 24)
(33, 37)
(23, 46)
(15, 6)
(38, 23)
(27, 30)
(43, 21)
(41, 37)
(23, 27)
(38, 26)
(28, 25)
(49, 18)
(37, 36)
(28, 4)
(45, 23)
(49, 33)
(22, 37)
(46, 38)
(12, 5)
(28, 34)
(32, 37)
(15, 8)
(30, 37)
(13, 8)
(20, 8)
(18, 8)
(25, 8)
(23, 45)
(40, 37)
(15, 5)
(28, 19)
(35, 37)
(47, 16)
(39, 21)
(28, 30)
(43, 37)
(49, 29)
(29, 31)
(28, 9)
(23, 39)
(28, 16)
(10, 39)
(14, 39)
(28, 3)
(49, 24)
(13, 39)
(28, 14)
(46, 41)
(29, 15)
(28, 36)
(23, 42)
(28, 21)
(3, 8)
(8, 8)
(22, 8)
(27, 8)
(17, 48)
(49, 27)
(21, 50)
###################
This is the network for battery (3, 45).
End capacity: 32.40252575000004
Cable count: 220
--------------------

Cable Coordinates: 
(24, 30)
(15, 27)
(21, 47)
(12, 1)
(5, 44)
(43, 3)
(15, 1)
(40, 41)
(16, 28)
(44, 4)
(43, 20)
(39, 17)
(27, 2)
(43, 25)
(42, 35)
(15, 47)
(5, 8)
(30, 13)
(4, 0)
(35, 15)
(43, 42)
(5, 5)
(3, 45)
(21, 34)
(14, 1)
(40, 19)
(19, 3)
(43, 14)
(25, 15)
(21, 12)
(43, 19)
(42, 41)
(37, 41)
(43, 36)
(32, 15)
(5, 11)
(29, 30)
(30, 14)
(43, 41)
(31, 15)
(21, 40)
(21, 37)
(8, 38)
(38, 15)
(43, 13)
(40, 35)
(21, 15)
(36, 41)
(43, 30)
(43, 35)
(5, 14)
(28, 15)
(39, 42)
(21, 43)
(30, 30)
(31, 31)
(5, 40)
(43, 7)
(43, 8)
(25, 5)
(18, 15)
(7, 38)
(43, 29)
(5, 1)
(30, 4)
(29, 4)
(39, 41)
(21, 46)
(25, 30)
(31, 18)
(5, 43)
(43, 2)
(24, 5)
(16, 29)
(4, 48)
(43, 23)
(16, 32)
(39, 16)
(27, 5)
(43, 24)
(15, 46)
(4, 1)
(39, 35)
(5, 4)
(38, 41)
(7, 1)
(21, 33)
(17, 1)
(24, 15)
(31, 17)
(19, 2)
(43, 1)
(26, 30)
(3, 50)
(21, 11)
(43, 18)
(8, 48)
(15, 48)
(6, 48)
(43, 39)
(30, 15)
(5, 10)
(2, 50)
(43, 40)
(6, 1)
(5, 7)
(16, 1)
(21, 36)
(37, 15)
(20, 15)
(19, 1)
(43, 12)
(9, 38)
(22, 30)
(21, 14)
(43, 17)
(27, 15)
(43, 34)
(5, 13)
(21, 42)
(34, 15)
(31, 30)
(21, 39)
(18, 1)
(43, 6)
(43, 11)
(21, 1)
(46, 4)
(45, 4)
(43, 28)
(17, 33)
(10, 38)
(22, 14)
(43, 33)
(23, 15)
(21, 48)
(28, 13)
(21, 45)
(5, 42)
(4, 38)
(43, 5)
(16, 30)
(5, 39)
(20, 1)
(4, 49)
(43, 22)
(16, 33)
(39, 19)
(27, 4)
(43, 27)
(23, 1)
(47, 4)
(43, 44)
(5, 3)
(31, 16)
(16, 27)
(43, 21)
(22, 1)
(27, 3)
(43, 38)
(18, 33)
(42, 34)
(5, 9)
(30, 12)
(28, 4)
(9, 1)
(43, 43)
(5, 6)
(36, 15)
(21, 35)
(19, 15)
(43, 15)
(9, 37)
(41, 19)
(31, 32)
(21, 13)
(11, 38)
(43, 16)
(42, 40)
(23, 30)
(26, 15)
(43, 37)
(8, 1)
(5, 12)
(33, 15)
(14, 27)
(21, 41)
(11, 1)
(21, 38)
(43, 10)
(39, 15)
(5, 48)
(43, 31)
(41, 35)
(22, 15)
(27, 13)
(43, 32)
(5, 15)
(28, 14)
(10, 1)
(39, 43)
(21, 44)
(29, 15)
(13, 1)
(5, 41)
(43, 4)
(16, 31)
(48, 4)
(5, 38)
(4, 50)
(6, 38)
(43, 9)
(42, 19)
(41, 41)
(39, 18)
(13, 27)
(43, 26)
(9, 48)
(7, 48)
(5, 2)
