Total cost: 10602
Unconnected houses: 0
These houses have been connected:
(35, 37)
(18, 23)
(28, 30)
(36, 38)
(43, 37)
(49, 29)
(30, 9)
(12, 44)
(39, 36)
(30, 28)
(49, 44)
(30, 19)
(28, 39)
(53, 44)
(49, 49)
(22, 21)
(36, 40)
(22, 15)
(49, 24)
(30, 10)
(35, 6)
(26, 42)
(18, 50)
(30, 25)
(21, 44)
(48, 49)
(20, 23)
(53, 47)
(26, 27)
(17, 9)
(23, 42)
(25, 17)
(30, 35)
(31, 41)
(29, 41)
(22, 22)
(9, 46)
(50, 44)
(22, 5)
(26, 5)
(9, 48)
(49, 27)
(30, 7)
(29, 5)
###################
This is the network for battery (3, 45).
End capacity: 7.086697359999917
Cable count: 256
--------------------

Cable Coordinates: 
(24, 30)
(40, 3)
(46, 42)
(29, 50)
(17, 7)
(49, 42)
(18, 4)
(50, 49)
(43, 3)
(65, 50)
(21, 9)
(7, 25)
(18, 19)
(8, 50)
(15, 50)
(46, 3)
(3, 7)
(18, 30)
(16, 50)
(5, 8)
(19, 40)
(18, 45)
(6, 7)
(38, 40)
(31, 8)
(3, 45)
(10, 7)
(34, 8)
(16, 3)
(29, 8)
(5, 18)
(9, 21)
(19, 14)
(20, 30)
(33, 50)
(50, 39)
(6, 25)
(13, 7)
(19, 3)
(18, 9)
(44, 9)
(18, 20)
(19, 50)
(18, 35)
(5, 11)
(4, 5)
(27, 50)
(18, 46)
(21, 40)
(50, 40)
(66, 5)
(8, 38)
(21, 18)
(20, 14)
(44, 3)
(18, 10)
(39, 14)
(44, 14)
(18, 25)
(17, 39)
(47, 3)
(12, 39)
(18, 36)
(5, 14)
(12, 50)
(3, 18)
(19, 34)
(9, 19)
(37, 3)
(19, 8)
(34, 48)
(50, 45)
(24, 8)
(66, 6)
(20, 3)
(2, 18)
(18, 15)
(41, 40)
(14, 50)
(5, 50)
(7, 38)
(18, 26)
(18, 41)
(9, 25)
(23, 50)
(16, 7)
(19, 18)
(50, 35)
(24, 18)
(18, 5)
(50, 46)
(23, 40)
(65, 49)
(21, 8)
(35, 40)
(18, 16)
(26, 8)
(49, 3)
(9, 50)
(18, 31)
(8, 6)
(34, 47)
(35, 14)
(26, 50)
(17, 50)
(18, 42)
(9, 7)
(35, 3)
(9, 20)
(5, 17)
(12, 7)
(50, 36)
(38, 3)
(21, 30)
(3, 50)
(18, 6)
(15, 7)
(40, 39)
(21, 11)
(44, 10)
(18, 21)
(37, 40)
(18, 32)
(24, 40)
(5, 10)
(4, 6)
(2, 50)
(18, 47)
(5, 7)
(36, 14)
(9, 23)
(50, 41)
(18, 11)
(9, 38)
(16, 39)
(23, 18)
(22, 30)
(11, 39)
(18, 22)
(50, 3)
(24, 50)
(31, 50)
(18, 37)
(23, 8)
(30, 8)
(5, 13)
(28, 8)
(18, 48)
(33, 8)
(22, 50)
(13, 50)
(36, 3)
(34, 49)
(50, 42)
(66, 7)
(39, 3)
(18, 12)
(10, 38)
(18, 27)
(44, 12)
(7, 50)
(65, 47)
(18, 38)
(15, 39)
(20, 40)
(9, 24)
(39, 40)
(4, 38)
(34, 50)
(50, 47)
(65, 48)
(48, 3)
(18, 17)
(18, 28)
(8, 7)
(20, 50)
(11, 50)
(18, 43)
(28, 50)
(11, 7)
(48, 42)
(5, 16)
(50, 37)
(41, 3)
(14, 7)
(20, 11)
(18, 7)
(50, 48)
(1, 18)
(40, 40)
(21, 10)
(22, 18)
(44, 11)
(18, 18)
(30, 50)
(18, 33)
(5, 9)
(4, 7)
(18, 44)
(4, 18)
(20, 34)
(9, 22)
(32, 50)
(7, 7)
(47, 42)
(37, 14)
(17, 3)
(66, 3)
(50, 38)
(22, 40)
(20, 8)
(18, 8)
(25, 8)
(9, 37)
(18, 23)
(42, 40)
(23, 30)
(6, 50)
(18, 34)
(25, 50)
(5, 12)
(4, 4)
(18, 49)
(20, 18)
(50, 43)
(42, 3)
(66, 4)
(38, 14)
(18, 13)
(36, 40)
(45, 3)
(18, 24)
(10, 39)
(44, 13)
(65, 46)
(14, 39)
(10, 50)
(18, 39)
(5, 15)
(13, 39)
(18, 50)
(18, 3)
(50, 44)
(6, 38)
(5, 38)
(4, 50)
(18, 14)
(18, 29)
(22, 8)
(4, 3)
(27, 8)
(18, 40)
(25, 40)
(32, 8)
(21, 50)
(19, 30)
